User_ID,Name,City,Birth_Date,Interests,Gender,Interest_Categories,max_prob,Profession,Latitude,Longitude,Birth_Year,Age
10001,Ibsitu Midhaqsaa,Nekemte,1962-08-31,"['Film', 'Entrepreneurship', 'Farming', 'Skateboarding', 'DIY', 'Animals', 'Carpentry', 'Kite Flying']",Female,['Games & Hobbies'],3,Software Engineer,9.470180506306583,36.88537024444003,1962,62
10002,Magartuu Berhanu,Asella,1994-03-17,"['Cooking / Culinary Arts', 'Martial Arts', 'Songwriting', 'Birdwatching', 'Team Sports', 'Safari', 'Gardening', 'Bodybuilding / Weight Lifting']",Female,['Games & Hobbies'],3,Film Director,8.754768919136097,39.497831027921706,1994,30
10003,Nigist Daraaraa,Bako,1971-06-07,"['Diving', 'Running', 'Engineering', 'Bodybuilding / Weight Lifting', 'Archery', 'Snorkeling', 'Birdwatching']",Female,"['Sports & Fitness', 'Games & Hobbies']",3,Economist,5.500946011671881,36.24017145255237,1971,53
10004,Birkeye Demeke,Awash,1975-08-24,"['Sailing', 'Bodybuilding / Weight Lifting', 'Woodworking']",Female,"['Sports & Fitness', 'Animals & Nature']",2,Tax Consultant,8.252032389765802,39.69944028357098,1975,49
10005,Nagaasee Husein,Abiy Addi,1996-01-24,"['Astronomy', 'Musical Instruments', 'Reuse', 'Low Technology', 'Investing']",Female,"['Business & Entrepreneurship', 'Science & Technology']",2,Fisheries Expert,13.916155932546122,39.25908368545908,1996,28
10006,Meetii Guutuu,Hosaena,1969-08-18,"['Camping', 'Cheerleading', 'Simple Living / Minimalism', 'Cultural Activities']",Female,"['Sports & Fitness', 'Business & Entrepreneurship']",1,Graphic Designer,8.166382824204199,37.34571707911852,1969,55
10007,Yaadanii Abdi,Bichena,2002-01-11,"['Investing', 'Woodworking', 'Music', 'Concerts', 'Kite Flying', 'Wine Tasting', 'Filmmaking', 'Reading']",Female,"['Sports & Fitness', 'Arts & Creativity', 'Games & Hobbies', 'Business & Entrepreneurship']",3,Public Policy Analyst,10.54565750704948,38.92733598398386,2002,22
10008,Simret Yohannes,Endaselassie,1979-05-18,"['Chess', 'Calligraphy', 'Journalism']",Female,"['Animals & Nature', 'Business & Entrepreneurship']",1,Sports Coach,13.45141354157315,38.62215118486948,1979,45
10009,Luam Andualem,Idaga Hamus,1994-10-09,"['Fundraising', 'Nature Photography', 'Animals', 'Surfing / Bodyboarding', 'Information Security', 'Writing', 'Go']",Female,"['Business & Entrepreneurship', 'Science & Technology']",2,Cybersecurity Analyst,14.192436264232992,40.03307295921282,1994,30
10010,Bakkashee Kebede,Rama,1986-11-15,"['Entrepreneurship', 'Information Security', 'Game Mods', 'Film', 'Drawing', 'Gardening']",Female,"['Business & Entrepreneurship', 'Cultural & Social Activities', 'Animals & Nature']",2,Microfinance Specialist,13.635816731278029,39.24000356450642,1986,38
10011,Dhibbaa Dawit,Zigem,1988-02-24,"['Information Security', 'Video Games', 'Photography']",Female,['Cultural & Social Activities'],1,Urban Planner,10.53117676578772,37.58458997601394,1988,36
10012,Baaccuu Alazar,Wendo Genet,1973-09-09,"['Nature Photography', 'Skiing / Snowboarding', 'Coaching', 'Horseback Riding', 'Animation', 'Filmmaking', 'Wine Tasting']",Female,"['Business & Entrepreneurship', 'Arts & Creativity']",2,Public Policy Analyst,6.90859581492965,38.7954985621877,1973,51
10013,Hambisee Garbaa,Wonchi,2006-06-06,"['Reading', 'Cheerleading', 'Sailing', 'Safari', 'Camping']",Female,"['Science & Technology', 'Cultural & Social Activities', 'Business & Entrepreneurship', 'Sports & Fitness']",2,Microfinance Specialist,8.834121948052397,38.27846419316212,2006,18
10014,Galgalee Kebede,Kebri Dehar,1995-05-31,"['Technology', 'Safari', 'Crafts', 'Coaching', 'Running', 'Skiing / Snowboarding', 'Gymnastics']",Female,['Sports & Fitness'],3,Agricultural Scientist,6.56920765187038,44.38609665912201,1995,29
10015,Faayaa Sisay,Kombolcha,1971-06-14,"['Sailing', 'Aquariums', 'Skateboarding']",Female,"['Sports & Fitness', 'Cultural & Social Activities', 'Business & Entrepreneurship']",2,Microfinance Specialist,10.482627011968352,39.43667245053593,1971,53
10016,Baaccuu Sebsebe,Meki,1961-06-19,"['Animation', 'Music Performance / Production', 'Boxing', 'Skiing / Snowboarding', 'Martial Arts']",Female,"['Sports & Fitness', 'Cultural & Social Activities', 'Games & Hobbies']",3,Metaverse Developer,8.079781814089904,39.480957674377336,1961,63
10017,Bor-tolti Mesay,Nekemte,1998-02-07,"['Music', 'Cultural Activities', 'User Experience']",Female,"['Cultural & Social Activities', 'Business & Entrepreneurship']",1,Agricultural Scientist,9.35851480001421,36.48541414381899,1998,26
10018,Harmee Michael,Gondar,1956-02-07,"['Running', 'Festivals', 'Exercise', 'Fashion', 'Tennis', 'Fishing', 'Iconography']",Female,"['Arts & Creativity', 'Science & Technology', 'Cultural & Social Activities', 'Games & Hobbies']",3,Wildlife Conservationist,12.721328069989989,37.51109405044175,1956,68
10019,Dorcas Kooraa,Shakiso,1972-03-01,"['Sailing', 'Design', 'Go', 'Running', 'Kite Flying']",Female,"['Arts & Creativity', 'Cultural & Social Activities']",3,Accountant,5.560568324334783,38.620251355808406,1972,52
10020,Dammashee Mesfin,Debre Markos,1957-04-20,"['Computing', 'Climbing', 'Environmental Action']",Female,"['Cultural & Social Activities', 'Sports & Fitness']",1,Investment Banker,9.517503627060956,37.77373374308884,1957,67
10021,Turee Beteab,Dallol,1987-09-22,"['Birdwatching', 'Tea Culture', 'Puzzles', 'Environmental Action', 'Board Games', 'User Experience', 'Entrepreneurship']",Female,"['Arts & Creativity', 'Science & Technology']",2,Actuary,11.28171098491945,40.759580756874094,1987,37
10022,Walalii Angaasaa,Tulla,1993-08-06,"['Baking', 'Birdwatching', 'Woodworking', 'Design', 'Journaling', 'Science', 'Interior Design']",Female,"['Sports & Fitness', 'Games & Hobbies', 'Science & Technology']",3,Cybersecurity Analyst,6.280541068223954,37.13497734252168,1993,31
10023,Obsee Dube,Becho,1986-08-05,"['Public Speaking', 'Writing', 'Archery', 'Calligraphy', 'Board Games', 'Safari', 'Gymnastics', 'DIY']",Female,"['Science & Technology', 'Business & Entrepreneurship']",2,Microfinance Specialist,7.754274034866378,38.02665999373574,1986,38
10024,Soorettii Bekele,Assosa,1966-05-09,"['Skating', 'Video Games', 'Tutoring', 'Cooking / Culinary Arts', 'Poker', 'Coaching', 'Photography']",Female,"['Animals & Nature', 'Arts & Creativity', 'Business & Entrepreneurship']",2,Graphic Designer,9.93221958760957,34.63035793695076,1966,58
10025,Leensee Solomon,Yucub,1962-01-12,"['Farming', 'Skating', 'History', 'Cycling', 'Boxing', 'Public Speaking', 'Table Tennis', 'Reuse']",Female,"['Animals & Nature', 'Cultural & Social Activities']",4,Cloud Solutions Architect,6.210277006645275,43.95813005243423,1962,62
10026,Leensaa Fufaa,Awash Fentale,1989-02-04,"['Science', 'Design', 'Iconography', 'Wildlife', 'Wine Tasting']",Female,"['Sports & Fitness', 'Arts & Creativity', 'Animals & Nature', 'Games & Hobbies']",2,Food Processing Engineer,12.156254685420024,41.03936879916937,1989,35
10027,Simboo Dandanaa,Afambo,1969-01-16,"['Swimming', 'Biology', 'Tennis', 'Wildlife', 'Cycling']",Female,"['Sports & Fitness', 'Cultural & Social Activities', 'Science & Technology', 'Business & Entrepreneurship']",3,Investment Banker,11.726510603390786,41.07330907674142,1969,55
10028,Enku Mekonnen,Rama,1990-10-20,"['Diving', 'Animation', 'Songwriting']",Female,"['Sports & Fitness', 'Science & Technology', 'Animals & Nature', 'Cultural & Social Activities']",2,IT Manager,13.458323065084151,39.81438062866295,1990,34
