User_ID,Name,City,Birth_Date,Interests,Gender,Interest_Categories,max_prob,Profession,Latitude,Longitude,Birth_Year,Age
1,Kiilolee Daawwitii,Asella,2007-06-21,"['Songwriting', 'Filmmaking', 'Sculpting', 'Art', 'Coaching', 'Diving', 'Media Production', 'Museums']",Female,"['Animals & Nature', 'Arts & Creativity', 'Science & Technology', 'Business & Entrepreneurship', 'Cultural & Social Activities']",4,Digital Content Creator,8.58209883306169,38.88512932187844,2007,17
2,Jaalalii Caalaa,Wolaita Sodo,1987-03-05,"['Beekeeping', 'Aquariums', 'Fishing', 'Photography', 'Visual Communication & Design', 'Track & Field']",Female,"['Animals & Nature', 'Arts & Creativity', 'Sports & Fitness']",3,Agricultural Scientist,6.7002150628725525,37.837659815809964,1987,37
3,Akkashee Ammayyuu,Selenko,1969-05-16,"['Investing', 'Technology', 'Business', 'Sailing']",Female,"['Sports & Fitness', 'Science & Technology', 'Business & Entrepreneurship']",2,Auditor,13.710866993738911,39.12417030226186,1969,55
4,Maleda Ibsaa,Metema,1995-11-09,"['Songwriting', 'Poker', 'Cultural Activities', 'Animals', 'Political Participation', 'Cosplay', 'Business']",Female,"['Animals & Nature', 'Arts & Creativity', 'Business & Entrepreneurship', 'Games & Hobbies', 'Cultural & Social Activities']",2,Entrepreneur,12.791423573180777,35.98092345369491,1995,29
5,Marda Roobaa,Muger,2000-05-22,"['Photography', 'Baking', 'Political Participation', 'Carpentry']",Female,"['Arts & Creativity', 'Business & Entrepreneurship', 'Cultural & Social Activities']",2,Digital Content Creator,9.505676143825074,38.53108202922434,2000,24
6,Fayyisee Daawwitii,Adet,2000-03-29,"['Reuse', 'Puzzles', 'DIY']",Female,"['Arts & Creativity', 'Games & Hobbies']",2,Film Director,11.823834897817623,36.9739217166918,2000,24
7,Hawwii Lammii,Awash,1986-09-05,"['Fundraising', 'Skating', 'Golf']",Female,"['Sports & Fitness', 'Business & Entrepreneurship']",2,Fitness Trainer,8.887216791422075,40.18356098979867,1986,38
8,Ganamee Thomas,Finote Selam,1994-02-08,"['Windsurfing / Kitesurfing', 'Dance', 'Board Games']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Games & Hobbies']",1,Graphic Designer,10.778979043710681,37.6027844520114,1994,30
9,Siifan Dilnesaw,Teru,1974-10-18,"['Artificial Intelligence', 'Origami', 'Entrepreneurship', 'Environmental Action', 'Botany']",Female,"['Animals & Nature', 'Arts & Creativity', 'Science & Technology', 'Business & Entrepreneurship']",2,Irrigation Engineer,12.629243999144121,40.23619302346345,1974,50
10,Waaqtolee Ittafaa,Kebri Dahar,1978-11-12,"['Camping', 'Geocaching', 'Visual Communication & Design', 'Improv', 'Snorkeling']",Female,"['Animals & Nature', 'Arts & Creativity', 'Games & Hobbies']",2,Forestry Expert,6.604269379190992,44.02847043168053,1978,46
11,Hawa Maqaasaa,Were Ilu,1964-03-23,"['Board Games', 'Simple Living / Minimalism', 'Cosplay', 'Archery', 'Reuse', 'Performance Art', 'Game Mods', 'Musical Instruments']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Games & Hobbies']",5,Film Director,10.817141636654089,39.54363483203378,1964,60
12,Leensaa Workneh,Sawla,1985-11-28,"['Hiking', 'Coding', 'Robotics', 'Crafts', 'Golf', 'Fundraising', 'Filmmaking', 'Cosplay']",Female,"['Animals & Nature', 'Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Business & Entrepreneurship']",3,Digital Content Creator,6.868125635996765,37.753220230426514,1985,39
13,Simret Urgeessaa,Metehara,2007-03-31,"['Low Technology', 'Orienteering', 'Sculpting', 'Maintenance & Repair', 'Nail Art', 'Card Games', 'Journalism', 'Tutoring']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Business & Entrepreneurship', 'Games & Hobbies']",2,Economist,9.116606938704795,40.22562754919655,2007,17
14,Bor-tolti Jaagamaa,Mille,1988-08-15,"['Poker', 'Fashion', 'Cycling']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Games & Hobbies']",1,Music Producer,12.01307320444705,40.53283738957426,1988,36
15,Amha Boonaa,Ginir,1982-02-16,"['Festivals', 'Investing', 'Fashion', 'Photography', 'Technology', 'Tennis', 'Climbing']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Business & Entrepreneurship', 'Cultural & Social Activities']",2,Sports Coach,7.396149026793604,39.6259118573604,1982,42
16,Kumee Abebe,Ziway,1964-05-30,"['Art', 'Filmmaking', 'Public Speaking', 'Orienteering', 'Golf']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Business & Entrepreneurship']",2,Music Producer,8.160021127275197,39.43979260470649,1964,60
17,Waaqtolee Ketema,Dilla,1976-02-11,"['Museums', 'Astronomy', 'Cycling', 'Simple Living / Minimalism', 'Sculpting', 'Art']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Cultural & Social Activities']",3,Film Director,6.526510016850924,37.76795409201689,1976,48
18,Soorettii Alebachew,Huruta,1984-05-24,"['Improv', 'Safari', 'Comic Books / Manga']",Female,"['Animals & Nature', 'Arts & Creativity', 'Games & Hobbies']",1,AgriTech Specialist,8.291877739263658,39.310398357947314,1984,40
19,Siifan Gadaa,Warder,1964-02-11,"['Horseback Riding', 'Computing', 'Environmental Action', 'Boxing', 'Bodybuilding / Weight Lifting', 'Skiing / Snowboarding', 'Cheerleading', 'Music']",Female,"['Animals & Nature', 'Arts & Creativity', 'Sports & Fitness', 'Science & Technology']",5,Sports Coach,7.510807916001779,45.46195173496818,1964,60
20,Bashaatuu Sebsebe,Gambela,1971-03-24,"['Maintenance & Repair', 'Small Business', 'Safari']",Female,"['Animals & Nature', 'Science & Technology', 'Business & Entrepreneurship']",1,Investment Banker,8.544983738044484,33.98865872575691,1971,53
21,Dinqiishee Solomon,Debub,1996-01-01,"['Journalism', 'Science', 'Carpentry', 'Safari', 'Dance']",Female,"['Animals & Nature', 'Arts & Creativity', 'Science & Technology', 'Business & Entrepreneurship']",2,Graphic Designer,14.575159088501463,39.60541734597975,1996,28
22,Meskerem Gaangul,Were Ilu,1985-07-18,"['Baking', 'Small Business', 'Festivals']",Female,"['Business & Entrepreneurship', 'Cultural & Social Activities']",2,Human Rights Advocate,10.86231396693098,39.61543608349151,1985,39
23,Bemnet Lammeesaa,Alamata,1971-03-06,"['Track & Field', 'Languages', 'Diving', 'Cultural Activities']",Female,"['Animals & Nature', 'Sports & Fitness', 'Cultural & Social Activities']",2,Legislative Advisor,12.171584165574663,39.83134860130057,1971,53
24,Badhaanee Naa’ol,Amibara,1976-11-15,"['Track & Field', 'Coding', 'Painting', 'Comic Books / Manga', 'Archery', 'Political Participation', 'Cosplay', 'Sailing']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Business & Entrepreneurship']",3,Professional Athlete,11.818864972609425,40.293917931856825,1976,48
25,Barrisee Teshome,Adama,1989-10-16,"['Nail Art', 'Table Tennis', 'Birdwatching', 'Safari', 'Writing', 'Simple Living / Minimalism', 'Festivals']",Female,"['Animals & Nature', 'Arts & Creativity', 'Sports & Fitness', 'Cultural & Social Activities']",2,AgriTech Specialist,8.428888456769997,39.609688310923104,1989,35
26,Bedelwa Jigsaa,Bako,2000-02-05,"['Festivals', 'Kite Flying', 'Cooking / Culinary Arts', 'Camping']",Female,"['Animals & Nature', 'Sports & Fitness', 'Cultural & Social Activities']",2,Human Rights Advocate,5.761761355120681,36.429049763339904,2000,24
27,Diimee Issak,Humera,1959-01-13,"['Coffee Culture', 'Political Participation', 'Golf']",Female,"['Sports & Fitness', 'Business & Entrepreneurship', 'Cultural & Social Activities']",1,Accountant,14.280796494499743,36.396655039688575,1959,65
28,Giiftii Diggaa,Dila,1990-04-25,"['Cooking / Culinary Arts', 'Windsurfing / Kitesurfing', 'Crafts', 'Music Performance / Production', 'Cheerleading', 'Cultural Activities']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Cultural & Social Activities']",2,Government Economist,5.465306352542996,38.16190415536689,1990,34
29,Utuu Dube,Tongo,1978-01-18,"['Writing', 'Sailing', 'Debate', 'Fundraising']",Female,"['Sports & Fitness', 'Business & Entrepreneurship', 'Cultural & Social Activities']",2,Entrepreneur,8.668370583196669,34.56695276633939,1978,46
30,Durreettii Hacaaluu,Gode,1969-10-08,"['Cycling', 'Game Mods', 'Technology', 'Archery', 'Running']",Female,"['Sports & Fitness', 'Science & Technology']",3,Professional Athlete,6.314363421217993,43.23617294290591,1969,55
31,Dammasaakeetii Abdu,Shambu,1969-10-18,"['Sculpting', 'Environmental Action', 'Carpentry', 'Birdwatching']",Female,"['Animals & Nature', 'Arts & Creativity']",2,Digital Content Creator,9.67049357982339,36.6496574888087,1969,55
